station_seqnum,metro_id,Nazwa_stacji,longitude,latitude,who_entered,country_seqnum,source_seqnum,use_index,station_id
1420143,6512,RABKA,19.96666667,49.61666667,7,221,118,1,249190370
1420144,6513,ZAWOJA,19.51666667,49.61666667,7,221,118,1,249190350
1420145,6515,STAŃCOWA,19.55,49.53333333,7,221,118,1,249199987
1420146,6517,SIENIAWA,19.91666667,49.53333333,7,221,118,1,249199986
1420147,6519,CZARNY DUNAJEC,19.85,49.45,7,221,118,1,249199984
1420148,6522,ANTAŁÓWKA,19.98333333,49.3,7,221,118,1,249199978
1420149,6525,POLANA CHOCHOŁOWSKA,19.78333333,49.23333333,7,221,118,1,249190670
1420150,6526,HALA ORNAK,19.86666667,49.23333333,7,221,118,1,249190680
1420151,6551,LALIKI,19.01666667,49.55,7,221,118,1,249190480
1420152,6601,BOCHNIA,20.4,49.98333333,7,221,118,1,249209999
1420153,6602,JODŁOWNIK,20.25,49.78333333,7,221,118,1,249200110
1420154,6603,CIĘŻKOWICE,20.08583333,49.03527778,7,221,118,1,249209992
1420155,6604,ROŻNÓW,20.68333333,49.76666667,7,221,118,1,249209991
1420156,6606,ZBYSZYCE,20.66666667,49.7,7,221,118,1,249209987
1420157,6614,ŁABOWA,20.86666667,49.53333333,7,221,118,1,249209971
1420158,6616,ŁOPUSZNA,20.13333333,49.48333333,7,221,118,1,249200320
1420159,6618,KROŚCIENKO,20.43333333,49.45,7,221,118,1,249200370
1420160,6619,PIWNICZNA,20.7,49.43333333,7,221,118,1,249200410
1420161,6620,SZCZAWNICA,20.5,49.43333333,7,221,118,1,249209977
1420162,6622,CZORSZTYN-NADZAMCZE,20.33333333,49.43333333,7,221,118,1,249209978
1420163,6623,KRYNICA,20.96666667,49.41666667,7,221,118,1,249200470
1420164,6626,BUKOWINA TATRZAŃSKA,20.11666667,49.35,7,221,118,1,249200480
1420165,6631,ŁYSA POLANA,20.11666667,49.26666667,7,221,118,1,249200530
1420166,6632,HALA GĄSIENICOWA,20.00583333,49.24416667,7,221,118,1,249200540
1420167,6634,MORSKIE OKO,20.07111111,49.20194444,7,221,118,1,249200910
1420168,6650,JASTRZĘBIA,20.9,49.78333333,7,221,118,1,249200130
1420169,6651,DOBCZYCE,20.06666667,49.88333333,7,221,118,1,249200070
1420170,6704,KROSNO,21.75,49.68333333,7,221,118,1,249219993
1420171,6705,DUKLA,21.68333333,49.56666667,7,221,118,1,249210140
1420172,6707,WYSOWA,21.18333333,49.43333333,7,221,118,1,249210230
1420173,6708,BARWINEK,21.68333333,49.43333333,7,221,118,1,249210240
1420174,6803,BIRCZA,22.48333333,49.68333333,7,221,118,1,249220060
1420175,6812,TERKA,22.43333333,49.3,7,221,118,1,249220210
1420176,91001,WRZOSOWO,14.81666667,54.01666667,7,221,118,1,254149999
1420177,91101,TRZEBIATÓW,15.26666667,54.06666667,7,221,118,1,254150020
1420178,91105,MIECHĘCINO,15.75,54.11666667,7,221,118,1,254159999
1420179,91150,DYGOWO,15.71666667,54.13333333,7,221,118,1,254150010
1420180,91202,GRZYBNICA,16.45,54.05,7,221,118,1,254160090
1420181,91207,POLANÓW,16.68333333,54.11666667,7,221,118,1,254160080
1420182,91211,SIERAKOWO,16.51666667,54.21666667,7,221,118,1,254160060
1420183,91212,KRĄG,16.7,54.21666667,7,221,118,1,254160070
1420184,91214,MIELNO,16.05,54.25,7,221,118,1,254160050
1420185,91218,JEŻYCZKI,16.4,54.33333333,7,221,118,1,254160040
1420186,91219,SŁAWNO,16.66666667,54.35,7,221,118,1,254160030
1420187,91252,BRUSKOWO MAŁE,16.88333333,54.48333333,7,221,118,1,254160010
1420188,91253,SŁUPSK II,16.99777778,54.47083333,7,221,118,1,254160120
1420189,91305,SOMINY,17.65,54.03333333,7,221,118,1,254170160
1420190,91308,KARPNO,17.8,54.11666667,7,221,118,1,254170150
1420191,91309,ŁOBZOWO,17.23333333,54.13333333,7,221,118,1,254170120
1420192,91310,NIEZABYSZEWO,17.43333333,54.13333333,7,221,118,1,254170130
1420193,91311,UGOSZCZ,17.53333333,54.13333333,7,221,118,1,254179995
1420194,91319,KLUKOWA HUTA,17.9,54.25,7,221,118,1,254179994
1420195,91320,ULISZKOWICE,17.11666667,54.28333333,7,221,118,1,254170080
1420196,91323,KRUSZYNA,17.03333333,54.35,7,221,118,1,254179997
1420197,91328,BUKOWINA,17.85,54.41666667,7,221,118,1,254170070
1420198,91329,MALCZKOWO,17.36666667,54.43333333,7,221,118,1,254170050
1420199,91335,OBJAZDA,17.05,54.61666667,7,221,118,1,254170030
1420200,91340,SMOŁDZINO,17.21666667,54.66666667,7,221,118,1,254170020
1420201,91344,ŻELAZNO,17.86666667,54.73333333,7,221,118,1,254170010
1420202,91351,ŁUPAWSKO,17.6,54.28333333,7,221,118,1,254170090
1420203,91352,MIKOROWO,17.58333333,54.41666667,7,221,118,1,254170060
1420204,91353,BORUCINO,17.98333333,54.25,7,221,118,1,254170110
1420205,91354,KLUKI,17.37111111,54.68833333,7,221,118,1,254170170
1420206,91355,IZBICA,17.43861111,54.68333333,7,221,118,1,254170180
1420207,91356,SŁUPSK,17.03444444,54.46305556,7,221,118,1,254170190
1420208,91357,NIESIOŁOWICE-RZEPISKA,17.84888889,54.20444444,7,221,118,1,254170220
1420209,91358,SŁUCHOWO,17.96416667,54.77888889,7,221,118,1,254170250
1420210,91359,CZŁUCHY,17.195,54.66555556,7,221,118,1,254170270
1420211,91401,MIŁORADZ,18.91666667,54.01666667,7,221,118,1,254180180
1420212,91404,WOLNY DWÓR,18.43333333,54.08333333,7,221,118,1,254189997
1420213,91406,LUBAŃ,18.16666667,54.11666667,7,221,118,1,254180160
1420214,91409,TRĄBKI WIELKIE,18.53333333,54.16666667,7,221,118,1,254180150
1420215,91419,BĄKOWO,18.53333333,54.3,7,221,118,1,254180120
1420216,91421,KARTUZY,18.2,54.33333333,7,221,118,1,254189996
1420217,91423,MIRACHOWO,18.03333333,54.4,7,221,118,1,254189995
1420218,91425,RĘBISKA,18.33333333,54.45,7,221,118,1,254180080
1420219,91426,TĘPCZ,18.03333333,54.5,7,221,118,1,254180070
1420220,91429,WEJHEROWO,18.23333333,54.6,7,221,118,1,254180050
1420221,91433,JASTARNIA,18.66666667,54.7,7,221,118,1,254180030
1420222,91436,WIERZCHUCINO,18.0,54.78333333,7,221,118,1,254180020
1420223,91451,ŻELISTRZEWO,18.41666667,54.66666667,7,221,118,1,254180040
1420224,91452,LISEWO,18.83333333,54.1,7,221,118,1,254189991
1420225,91453,GORĘCZYNO,18.16666667,54.26666667,7,221,118,1,254180130
1420226,91455,GDYNIA DĄBROWA,18.44916667,54.46861111,7,221,118,1,254180230
1420227,91502,STRUŻYNA,19.95,54.0,7,221,118,1,254190180
1420228,91504,ZWIERZNO,19.35,54.03333333,7,221,118,1,254190170
1420229,91507,PASŁĘK,19.66666667,54.06666667,7,221,118,1,254190160
1420230,91509,DOBRY,19.95,54.11666667,7,221,118,1,254199996
1420231,91510,NOWY STAW,19.01666667,54.13333333,7,221,118,1,254190130
1420232,91511,SZOPY,19.33333333,54.13333333,7,221,118,1,254190140
1420233,91512,SŁOBITY,19.75,54.13333333,7,221,118,1,254190150
1420234,91516,MYŚLIWIEC,19.71666667,54.23333333,7,221,118,1,254199997
1420235,91520,TOLKMICKO,19.53333333,54.31666667,7,221,118,1,254190070
1420236,91521,STEGNA,19.11666667,54.33333333,7,221,118,1,254190060
1420237,91522,BRANIEWO,19.06916667,54.03361111,7,221,118,1,254190040
1420238,91523,KRYNICA MORSKA,19.45,54.38333333,7,221,118,1,254190030
1420239,91526,NOWA PASŁĘKA,19.06861111,54.035,7,221,118,1,254190020
1420240,91529,KĄTY RYBACKIE,19.21416667,54.33305556,7,221,118,1,254190210
1420241,91530,ROGITY,19.86138889,54.38916667,7,221,118,1,254190230
1420242,91550,KUROWO BRANIEWSKIE,19.75,54.23333333,7,221,118,1,254190090
1420243,91551,NOWE SADŁUKI,19.71388889,54.26166667,7,221,118,1,254190240
1420244,91601,WICHROWO,20.41666667,54.03333333,7,221,118,1,254200110
1420245,91602,FRANKNOWO,20.75,54.03333333,7,221,118,1,254209999
1420246,91603,LUBOMINO,20.25,54.06666667,7,221,118,1,254200090
1420247,91606,KASZUNY,20.33333333,54.15,7,221,118,1,254200070
1420248,91608,GALINY,20.83333333,54.16666667,7,221,118,1,254200060
1420249,91609,LECHOWO,20.26666667,54.2,7,221,118,1,254209998
1420250,91610,DŁUGOBÓR,19.99138889,54.22194444,7,221,118,1,254190110
1420251,91611,PIENIĘŻNO,20.13333333,54.23333333,7,221,118,1,254209997
1420252,91613,BARTOSZYCE,20.81666667,54.25,7,221,118,1,254200040
1420253,91614,GÓROWO IŁAWECKIE,20.5,54.3,7,221,118,1,254200030
1420254,91616,JUDYTY,20.9,54.31666667,7,221,118,1,254200020
1420255,91617,LELKOWO,20.23333333,54.33333333,7,221,118,1,254200010
1420256,91619,SZCZURKOWO,20.90277778,54.35527778,7,221,118,1,254200120
1420257,91620,DOMARADY,20.92083333,54.31138889,7,221,118,1,254200130
1420258,91651,BORNITY,20.05083333,54.18416667,7,221,118,1,254200050
1420259,91701,SIEDLISKA,21.91666667,54.0,7,221,118,1,253210010
1420260,91703,SĄTOPY-SAMULEWO,21.05,54.06666667,7,221,118,1,254219998
1420261,91704,PRZERWANKI,21.91666667,54.13333333,7,221,118,1,254210050
1420262,91706,PNIEWO,21.65,54.16666667,7,221,118,1,254210040
1420263,91707,GŁOWBITY,21.1,54.18333333,7,221,118,1,254210030
1420264,91708,BARCIANY,21.35,54.21666667,7,221,118,1,254210010
1420265,91709,WĘGORZEWO,21.76666667,54.21666667,7,221,118,1,254210020
1420266,91751,WILKOWO,21.31666667,54.01666667,7,221,118,1,254210060
1420267,91801,GIŻE,22.4,54.0,7,221,118,1,253220010
1420268,91804,BAKAŁARZEWO,22.65,54.1,7,221,118,1,254220080
1420269,91807,KOWALE OLECKIE,22.41666667,54.16666667,7,221,118,1,254220070
