Kod METEO,Nazwa stacji,longitude,latitude
92918,POLANKI,23.35,53.35
92926,HOŁODOLINA,23.23333333,53.53333333
92951,JAŁÓWKA,23.35,53.36666667
92952,NOWOSIÓŁKI,23.53333333,53.16666667
93923,NOWOSADY,23.88333333,52.96666667
93950,TRZEŚCIANKA,23.43333333,52.95
93951,OLSZYN,23.4,52.11666667
93953,NAREWKA,23.73333333,52.86666667
93955,ZAMOSZE,23.9,52.8
94904,DUBIENKA,23.88333333,51.05
94915,HAŃSK,23.4,51.4
94919,TUCZNA,23.41666667,51.88333333
94951,ZAGRODA,23.4,51.08333333
95926,GRABOWIEC,23.53333333,50.81666667
95931,WOJSŁAWICE,23.56666667,50.91666667
95932,GORZKÓW,23.01666667,50.95
94808,PSZCZELA WOLA,22.51666667,51.11666667
91807,KOWALE OLECKIE,22.41666667,54.16666667
94850,WOLA OKRZEJSKA,22.15,51.73333333
95838,JANÓW LUBELSKI,22.41666667,50.71666667
95851,RUDA ŁAŃCUCKA,22.33333333,50.35
96801,ROZTOKI GÓRNE,22.31666667,49.15
92843,BARSZCZOWA GÓRA,22.96666667,53.96666667
96851,BRZEGI DOLNE,22.61666667,49.45
2804,MARIANOWO,22.1,53.21666667
4803,NOWA WIEŚ,22.75,51.45
5802,JAROCIN,22.3,50.56666667
91819,ŻABIN,22.05,54.33333333
91820,ŻYTKIEJMY,22.7,54.35
91850,SIDORY,22.91666667,54.26666667
92803,BACIUTY,22.98333333,53.05
92806,PODGÓRZE,22.13333333,53.11666667
92819,RADZIŁÓW,22.4,53.41666667
92822,OSOWIEC,22.65,53.48333333
92851,ELŻBIECIN,22.13333333,53.2
93807,OLSZANKA,22.66666667,52.15
93810,ŁOSICE,22.73333333,52.21666667
93818,SIEMIATYCZE,22.86666667,52.43333333
93829,CIECHANOWIEC,22.5,52.68333333
93834,CZYŻEW,22.33333333,52.8
93852,TONKIELE,22.56666667,52.41666667
93853,ŻUROBICE,22.93333333,52.53333333
93854,JARNICE,22.01666667,52.36666667
94807,CHODEL,22.13333333,51.11666667
94854,SKOWIESZYNEK,22.01666667,51.31666667
95801,JAROSŁAW,22.68333333,50.03333333
96802,WETLINA,22.46666667,49.15
96806,DWERNIK,22.63333333,49.21666667
96808,POLANA,22.58333333,49.3
96810,RABE,22.66666667,49.36666667
96819,LESZCZOWATE,22.55,49.5
96842,BUDZIWÓJ,22.01666667,49.96666667
96850,NOWOSIELCE,22.06666667,49.56666667
96852,SAKOWCZYK,22.45,49.31666667
96853,KALNICA,22.43333333,49.2
95762,JASTRZĘBSKA WOLA,21.18333333,50.71666667
95723,OSTROWY TUSZOWSKIE,21.63333333,50.31666667
95725,BUDY TUSZOWSKIE,21.66666667,50.38333333
95733,BARANÓW SANDOMIERSKI,21.53333333,50.5
95710,BRZEŹNICA N/WISŁOKĄ,21.48333333,50.1
96750,GLINIK MARIAMPOLSKI,21.16666667,49.66666667
95755,KRĘPA GÓRNA,21.35,50.73333333
95707,LISIA GÓRA,21.03333333,50.08333333
96751,PUŁAWY DOLNE,21.91666667,49.5
2701,NIKUTOWO,21.3,53.83333333
2703,ZAWODZIE,21.4,53.38333333
3704,WARSZAWA-OBSERWATORIUM,21.03333333,52.21666667
4706,OPOLE LUBELSKIE,21.93333333,51.13333333
4708,RADOM,21.11666667,51.41666667
5751,ZAWADA,21.48333333,50.06666667
6705,DUKLA,21.68333333,49.56666667
6707,WYSOWA,21.18333333,49.43333333
91701,SIEDLISKA,21.91666667,54
91751,WILKOWO,21.31666667,54.01666667
92716,KOLNO,21.93333333,53.4
92720,NIEDŹWIEDZIE,21.15,53.51666667
92727,PISZ,21.8,53.63333333
92730,BABIĘTA,21.26666667,53.66666667
92738,RYN,21.53333333,53.93333333
92752,PTAKI,21.8,53.4
92753,DOBRYLAS,21.86666667,53.28333333
93706,CZŁEKÓWKA,21.45,52.05
93740,SOŁKI,21.71666667,52.35
93745,SEROCK,21.06666667,52.51666667
93752,ZATORY,21.18333333,52.6
93768,SINOŁĘKA,21.91666667,52.21666667
93772,CELESTYNÓW,21.38333333,52.05
93773,KOMOROWO,21.83333333,52.81666667
95704,DĘBICA,21.41666667,50.05
95705,CZARNA,21.25,50.06666667
95726,GAWŁUSZOWICE,21.38333333,50.41666667
95728,KWASÓW,21.03333333,50.43333333
95735,SUCHOWOLA,21.38333333,50.53333333
95739,KLIMONTÓW,21.45,50.66666667
95745,SADKÓW,21.08333333,50.73333333
95752,NOSÓW,21.21666667,50.91666667
95754,BARANÓWEK,21.25,50.78333333
95761,KOLBUSZOWA,21.8,50.23333333
95765,MIELEC,21.41666667,50.28333333
96712,KREMPNA,21.5,49.5
96721,SZYMBARK,21.08333333,49.61666667
96725,HACZÓW,21.9,49.66666667
96733,FRYSZTAK,21.6,49.83333333
96752,WISŁOCZEK,21.86666667,49.5
96753,WYSZOWADKA,21.41666667,49.45
96754,LUBATOWA,21.76666667,49.55
96755,ZBOISKA,21.7,49.58333333
96756,JASŁO,21.48333333,49.73333333
96757,ORZECHÓWKA,21.96666667,49.71666667
96653,NOWY WIŚNICZ,20.46666667,49.91666667
94607,WIELKA WIEŚ,20.98333333,51.08333333
96658,KOŹMICE WIELKIE,20.03333333,49.95
94660,DĄBRÓWKA STARA,20.73333333,51.76666667
94636,BIAŁA RAWSKA,20.46666667,51.8
92631,NOWY RAMUK,20.58333333,53.65
96664,RABA NIŻNA,20.06666667,49.65
94655,SKARŻYSKO KAMIENNA,20.88333333,51.13333333
94631,WÓLKA JAGIELCZYŃSKA,20.18333333,51.68333333
93626,FAMUŁKI BROCHOWSKIE,20.35,52.31666667
95663,POSZYNA (KŁAJ),20.36666667,50.05
2601,BISKUPIEC,20.98333333,53.85
3607,KAWĘCZYN,20.35,52.16666667
4605,ŁAZISKA,20.91666667,51.33333333
5604,MIECHÓW,20.03333333,50.36666667
5606,BORUSOWA,20.8,50.28333333
5608,IGOŁOMIA,20.26666667,50.1
6602,JODŁOWNIK,20.25,49.78333333
6606,ZBYSZYCE,20.66666667,49.7
6614,ŁABOWA,20.86666667,49.53333333
6616,ŁOPUSZNA,20.13333333,49.48333333
6619,PIWNICZNA,20.7,49.43333333
6623,KRYNICA,20.96666667,49.41666667
6626,BUKOWINA TATRZAŃSKA,20.11666667,49.35
6650,JASTRZĘBIA,20.9,49.78333333
6651,DOBCZYCE,20.06666667,49.88333333
91601,WICHROWO,20.41666667,54.03333333
91602,FRANKNOWO,20.75,54.03333333
91603,LUBOMINO,20.25,54.06666667
91606,KASZUNY,20.33333333,54.15
